player,corporation,tr_rating,milestone_vp,award_vp,card_vp,board_tile_vp,total_vp
petersenhauke,Robinson Industries,27,0,0,31,0,58
StrandedKnight,Cheung Shing Mars,24,15,2,19,0,60
