player,corporation,tr_rating,milestone_vp,award_vp,card_vp,board_tile_vp,total_vp
petersenhauke,Robinson Industries,33,0,0,6,4,43
StrandedKnight,Cheung Shing Mars,51,15,5,6,27,104
